,0
0,-0.05982641699435416
1,-0.0827408650688229
2,-0.15972636798103473
3,-0.05776529623138131
4,-0.09816808572369401
5,0.1567294216394955
6,-0.09036934122154869
7,-0.013825283254302831
8,-0.24738368546394052
9,-0.2987451921449015
10,-0.1402997368742784
11,-0.13555404534938664
12,0.1123267515832441
13,0.2236896848356411
14,0.19939943539705612
15,0.26661863773811734
16,0.15803120411209087
17,0.11831908907544197
18,0.008646917102002312
19,0.11772268732863003
20,-0.21195290444800302
21,-0.28779313521534433
22,-0.3081619430318818
23,-0.023150322958876847
24,0.11725251526086071
25,0.04672972667497565
26,0.07479414711226129
27,-0.16819649076777834
28,-0.0895801329428389
29,-0.2338317870849326
30,-0.08903575721314566
31,-0.1049544360022069
32,0.07538707113319436
33,0.03155128746874648
34,0.05848070697131629
35,0.1295934926153959
36,0.0947203579013043
37,0.03291737714047968
38,0.10967710803842279
39,-0.01732917729665178
40,0.011952968546188119
41,-0.04957551473278281
42,-0.014465123416901255
43,-0.035076654038775815
44,0.026426667952810904
45,-0.12830595172074358
46,-0.05155099665744869
47,0.04873648719975698
48,0.07966700479483545
49,0.05307013078724901
50,0.21770863466060983
51,0.4314078331154339
52,0.3964637389583095
53,0.2648352319715714
54,0.38430772877162617
55,0.2613960657550764
56,0.007654590337544212
57,-0.024375145518984374
58,0.1113148577159241
59,0.15577588017069774
60,0.2621131493412962
61,0.25325922189957584
62,0.1516611265313756
63,0.18514943274758638
64,0.09990785523174092
65,0.1405445577143592
66,0.28949757257955955
67,0.07586690360432992
68,0.15811151232602855
69,0.16951981609015285
70,0.045094919144045065
71,0.22172254625695176
72,0.1198411185324507
73,0.3018474877629865
74,-0.06355177738143415
75,0.07551410535488395
76,0.23220865034668428
77,0.044978467807163955
78,-0.07749838742814628
79,-0.020950950297517257
80,0.008856222916836092
81,0.30550771742750343
82,-0.055237170823622554
83,-0.15304447519346945
84,0.09786780519183266
85,0.02293323622324191
86,0.3921100393733745
87,0.20771013599819343
88,0.25402458237100656
89,0.2016455041976957
90,0.4095851422868052
91,0.09629987764642273
92,0.42807284081227087
93,0.41660580218187127
94,0.3583814620142967
95,0.10289212290168899
96,0.20004437933500324
97,0.2610823416044156
98,0.19544081484587997
99,0.30949018108968457
100,-0.05478463266699148
101,0.08580217219780313
102,0.5289238925232747
103,0.0013037160049225104
104,0.11131696295627258
105,-0.07494445911380872
106,-0.09054347179389945
107,0.15504189423836798
108,-0.219525611318632
109,-0.04090394929108918
110,-0.08612986267369051
111,0.18468139797037308
112,-0.16677745283484904
113,-0.23297224410910655
114,-0.0702867956408526
115,0.18346522338884694
116,-0.21668253392870704
117,-0.6332444182876907
118,-0.3630667339508594
119,0.00882181202917468
120,-0.3707148154773216
121,-0.3202093907584639
122,-0.4385038119883181
123,-0.5772280387004062
124,-0.10736069200402006
125,0.25228222119446525
126,0.587805286335645
127,0.6685425772125891
128,0.7101956220784121
129,0.6273060670007214
130,0.42008772862367577
131,0.7008844156564326
132,0.5777850954709717
133,-0.07538339832789556
134,0.12040502405576466
135,-0.0989731229790687
136,-0.012017851426392235
137,0.3078741006978909
138,0.12184847191964908
139,-0.015397586581297067
140,-0.05282710578216908
141,-0.07260674763589621
142,-0.11397363116823213
143,0.0682537066515154
144,0.18384090709971043
145,-0.09739981355077293
146,-0.003916107766763049
147,0.11689719412375506
148,0.0599495935332059
149,0.12304106922497103
150,-0.007124727075924279
151,0.04241352467003727
152,-0.18768089333666935
153,-0.24017594779366777
154,0.10702577846657409
155,0.001980362105629237
156,0.12607912894408216
157,0.010970524788440435
158,0.05260164661951142
159,-0.11837281627317339
160,-0.0030537604617579027
161,0.155044643183753
162,-0.19707621016702806
163,0.07353708541042278
164,0.11370376246741372
165,-0.26041263528093817
166,-0.05638357198425484
167,-0.0755190842314157
168,-0.05010624541245501
169,-0.02514893816043321
170,-0.01597280179845261
171,-0.04517869759813545
172,-0.18254873627317175
173,0.39636124670049744
174,4.535409596927845e-05
175,0.13277770095764851
176,-0.03917642289732067
177,-0.14897259322604461
178,0.01470151910841812
179,-0.07991775710599408
180,0.42354912223004887
181,0.45049028323755236
182,0.06172677461387057
183,-0.12133845475220068
184,-0.15482387160735117
185,0.28500084306185536
186,0.08887493005937429
187,-0.1151574696732347
188,-0.015589700987811199
189,0.726100836429552
190,-0.05375062773634177
191,-0.17035317646736414
192,0.2577654354317261
193,-0.09174834213951498
194,0.11212181124978071
195,-0.08050278834392031
196,-0.11840053053555229
197,0.5257684945262663
198,-0.055060136507262665
199,0.09951032252123057
200,-0.06097571596758282
201,-0.04819240197513466
202,-0.03821097285442814
203,0.007264338421284259
204,-0.0861080571570351
205,-0.02665400902819968
206,-0.1453481115030155
207,0.01964894753061261
208,0.0840461314717314
209,0.0428774223178229
